Payment type,2022 S1,2022 S2,2023 S1,2023 S2,2024 S1,2024 S2
Credit transfers,31864561.0,33354599.0,31940291.0,30928123.0,31796135.0,32411076.0
of which:,,,,,,
Domestic,23934146.0,24900638.0,24516199.0,24703764.0,24576397.0,25073955.0
Cross-border,7930415.0,8453961.0,7424091.0,6224360.0,7219738.0,7337122.0
of which:,,,,,,
Initiated in paper-based form 2,2965325.0,2345176.0,2218260.0,2424488.0,2754230.0,2542509.0
Initiated electronically,28400585.0,30597461.0,29334651.0,28104682.0,28656597.0,29463989.0
of which:,,,,,,
Initiated by domestic and foreign payment initiation service providers,21854.0,27132.0,28785.0,33757.0,34719.0,40390.0
Initiated via SEPA credit transfer instant scheme,57122.0,69204.0,83012.0,97307.0,113944.0,139743.0
Direct debits,1776283.0,2265886.0,2758358.0,2695692.0,2949088.0,2979381.0
of which:,,,,,,
Domestic,1664694.0,1759791.0,1724586.0,1786019.0,1775224.0,1865912.0
Cross-border,111589.0,506094.0,1033772.0,909673.0,1173864.0,1113468.0
Card payments,226660.0,258732.0,260703.0,282112.0,274692.0,302121.0
of which:,,,,,,
Domestic,183400.0,207566.0,210865.0,225661.0,220951.0,237883.0
Cross-border,43261.0,51166.0,49839.0,56451.0,53741.0,64237.0
of which:,,,,,,
initiated electronically,222354.0,253490.0,255196.0,276596.0,269290.0,296202.0
of which:,,,,,,
initiated via remote payment channel,41023.0,46199.0,47872.0,51867.0,52787.0,59168.0
of which:,,,,,,
Domestic,16660.0,18976.0,19826.0,21316.0,21940.0,23530.0
Cross-border,24363.0,27224.0,28047.0,30551.0,30847.0,35638.0
initiated via non-remote payment channel,181331.0,207291.0,207324.0,224729.0,216503.0,237034.0
of which:,,,,,,
Domestic,164028.0,185489.0,187747.0,201021.0,195789.0,210573.0
Cross-border,17303.0,21802.0,19577.0,23708.0,20714.0,26461.0
of which:,,,,,,
Contactless payments at a terminal,106742.0,134549.0,144199.0,161029.0,162113.0,180749.0
of which:,,,,,,
with a debit card,162298.0,186527.0,188135.0,203891.0,198098.0,219764.0
of which:,,,,,,
Domestic,147212.0,167465.0,170336.0,182235.0,177835.0,191932.0
Cross-border,15086.0,19062.0,17799.0,21656.0,20264.0,27833.0
with a delayed debit card,54752.0,60918.0,60978.0,65749.0,64300.0,68444.0
of which:,,,,,,
Domestic,30746.0,33907.0,34058.0,36488.0,36080.0,37917.0
Cross-border,24006.0,27011.0,26921.0,29261.0,28220.0,30527.0
with a credit card,5304.0,6045.0,6083.0,6956.0,6892.0,7993.0
of which:,,,,,,
Domestic,2731.0,3092.0,3178.0,3614.0,3815.0,4254.0
Cross-border,2573.0,2953.0,2904.0,3342.0,3077.0,3739.0
Cash withdrawals using card-based payment instruments,170818.0,190323.0,184974.0,186230.0,173499.0,185662.0
of which:,,,,,,
Domestic,166883.0,185346.0,180998.0,181449.0,170070.0,181519.0
Cross-border,3935.0,4977.0,3976.0,4781.0,3429.0,4143.0
of which:,,,,,,
with a debit card,165544.0,185684.0,180646.0,181653.0,169264.0,181227.0
with a delayed debit card,4879.0,4176.0,3890.0,4110.0,3795.0,3974.0
with a credit card,394.0,463.0,437.0,467.0,440.0,460.0
E-money payment transactions,219.0,260.0,273.0,291.0,298.0,392.0
Cheques,16520.0,13992.0,11054.0,9561.0,7376.0,6337.0
Money remittances,59258.0,64774.0,67824.0,63692.0,62046.0,62350.0
of which:,,,,,,
Domestic,56796.0,62142.0,65395.0,61224.0,59646.0,59861.0
Cross-border,2462.0,2632.0,2428.0,2468.0,2400.0,2488.0
Other payment services 3,20461.0,19504.0,16110.0,16693.0,14671.0,16136.0
Total payment transactions sent involving non-MFIs,34134781.0,36168069.0,35239586.0,34182394.0,35277804.0,35963454.0
of which:,,,,,,
Domestic,26041597.0,27147894.0,26724182.0,26983477.0,26823430.0,27440935.0
Cross-border,8093183.0,9020175.0,8515404.0,7198917.0,8454374.0,8522519.0
Payments initiated by domestic,,,,,,
payment initiation service providers,38154.0,42177.0,44594.0,56185.0,52332.0,63515.0
of which:,,,,,,
Domestic,35545.0,39681.0,42154.0,53536.0,49910.0,61150.0
Cross-border,2609.0,2496.0,2441.0,2649.0,2423.0,2366.0
Memorandum items:,,,,,,
Credits to the accounts by simple book entry,2807652.0,3660293.0,5791614.0,3863078.0,4381555.0,4691337.0
Debits to the accounts by simple book entry,2487008.0,3393490.0,5744465.0,3880211.0,4205630.0,4495203.0
