Payment_Type,period,value,metric,unit
Credit transfers,2022H1,3564.8,transactions,million
Domestic,2022H1,3346.9,transactions,million
Cross-border,2022H1,218.0,transactions,million
Initiated in paper-based form 2,2022H1,333.2,transactions,million
Initiated electronically,2022H1,3153.9,transactions,million
Initiated by domestic and foreign payment initiation service providers,2022H1,62.3,transactions,million
Initiated via SEPA credit transfer instant scheme,2022H1,82.1,transactions,million
Direct debits,2022H1,5058.8,transactions,million
Domestic,2022H1,4848.8,transactions,million
Cross-border,2022H1,210.0,transactions,million
Card payments,2022H1,4723.5,transactions,million
Domestic,2022H1,3981.4,transactions,million
Cross-border,2022H1,742.1,transactions,million
initiated electronically,2022H1,4684.2,transactions,million
initiated via remote payment channel,2022H1,581.3,transactions,million
Domestic,2022H1,188.4,transactions,million
Cross-border,2022H1,392.9,transactions,million
initiated via non-remote payment channel,2022H1,4102.8,transactions,million
Domestic,2022H1,3777.2,transactions,million
Cross-border,2022H1,325.6,transactions,million
Contactless payments at a terminal,2022H1,2766.7,transactions,million
with a debit card,2022H1,3813.5,transactions,million
Domestic,2022H1,3496.5,transactions,million
Cross-border,2022H1,317.0,transactions,million
with a delayed debit card,2022H1,776.6,transactions,million
Domestic,2022H1,423.6,transactions,million
Cross-border,2022H1,353.0,transactions,million
with a credit card,2022H1,94.1,transactions,million
Domestic,2022H1,45.5,transactions,million
Cross-border,2022H1,48.6,transactions,million
Cash withdrawals using card-based payment instruments,2022H1,745.8,transactions,million
Domestic,2022H1,727.6,transactions,million
Cross-border,2022H1,18.2,transactions,million
with a debit card,2022H1,721.4,transactions,million
with a delayed debit card,2022H1,22.1,transactions,million
with a credit card,2022H1,2.4,transactions,million
E-money payment transactions,2022H1,7.8,transactions,million
Cheques,2022H1,1.9,transactions,million
Money remittances,2022H1,4.3,transactions,million
Domestic,2022H1,1.3,transactions,million
Cross-border,2022H1,3.0,transactions,million
Other payment services 3,2022H1,13.6,transactions,million
Total payment transactions sent involving non-MFIs,2022H1,14120.7,transactions,million
Domestic,2022H1,12922.7,transactions,million
Cross-border,2022H1,1198.0,transactions,million
Payments initiated by domestic,2022H1,,transactions,million
payment initiation service providers,2022H1,106.2,transactions,million
Domestic,2022H1,88.1,transactions,million
Cross-border,2022H1,18.2,transactions,million
Memorandum items:,2022H1,,transactions,million
Credits to the accounts by simple book entry,2022H1,310.6,transactions,million
Debits to the accounts by simple book entry,2022H1,1068.5,transactions,million
Credit transfers,2022H2,3631.0,transactions,million
Domestic,2022H2,3409.5,transactions,million
Cross-border,2022H2,221.4,transactions,million
Initiated in paper-based form 2,2022H2,326.0,transactions,million
Initiated electronically,2022H2,3268.2,transactions,million
Initiated by domestic and foreign payment initiation service providers,2022H2,65.0,transactions,million
Initiated via SEPA credit transfer instant scheme,2022H2,96.9,transactions,million
Direct debits,2022H2,5092.4,transactions,million
Domestic,2022H2,4874.4,transactions,million
Cross-border,2022H2,218.0,transactions,million
Card payments,2022H2,5425.7,transactions,million
Domestic,2022H2,4535.8,transactions,million
Cross-border,2022H2,889.9,transactions,million
initiated electronically,2022H2,5378.5,transactions,million
initiated via remote payment channel,2022H2,638.6,transactions,million
Domestic,2022H2,212.2,transactions,million
Cross-border,2022H2,426.4,transactions,million
initiated via non-remote payment channel,2022H2,4739.9,transactions,million
Domestic,2022H2,4304.7,transactions,million
Cross-border,2022H2,435.1,transactions,million
Contactless payments at a terminal,2022H2,3485.7,transactions,million
with a debit card,2022H2,4433.3,transactions,million
Domestic,2022H2,4012.1,transactions,million
Cross-border,2022H2,421.2,transactions,million
with a delayed debit card,2022H2,839.9,transactions,million
Domestic,2022H2,454.7,transactions,million
