Payment_Type,period,value,metric,unit
Credit transfers,2022H1,31864561.0,value_eur,million_eur
Domestic,2022H1,23934146.0,value_eur,million_eur
Cross-border,2022H1,7930415.0,value_eur,million_eur
Initiated in paper-based form 2,2022H1,2965325.0,value_eur,million_eur
Initiated electronically,2022H1,28400585.0,value_eur,million_eur
Initiated by domestic and foreign payment initiation service providers,2022H1,21854.0,value_eur,million_eur
Initiated via SEPA credit transfer instant scheme,2022H1,57122.0,value_eur,million_eur
Direct debits,2022H1,1776283.0,value_eur,million_eur
Domestic,2022H1,1664694.0,value_eur,million_eur
Cross-border,2022H1,111589.0,value_eur,million_eur
Card payments,2022H1,226660.0,value_eur,million_eur
Domestic,2022H1,183400.0,value_eur,million_eur
Cross-border,2022H1,43261.0,value_eur,million_eur
initiated electronically,2022H1,222354.0,value_eur,million_eur
initiated via remote payment channel,2022H1,41023.0,value_eur,million_eur
Domestic,2022H1,16660.0,value_eur,million_eur
Cross-border,2022H1,24363.0,value_eur,million_eur
initiated via non-remote payment channel,2022H1,181331.0,value_eur,million_eur
Domestic,2022H1,164028.0,value_eur,million_eur
Cross-border,2022H1,17303.0,value_eur,million_eur
Contactless payments at a terminal,2022H1,106742.0,value_eur,million_eur
with a debit card,2022H1,162298.0,value_eur,million_eur
Domestic,2022H1,147212.0,value_eur,million_eur
Cross-border,2022H1,15086.0,value_eur,million_eur
with a delayed debit card,2022H1,54752.0,value_eur,million_eur
Domestic,2022H1,30746.0,value_eur,million_eur
Cross-border,2022H1,24006.0,value_eur,million_eur
with a credit card,2022H1,5304.0,value_eur,million_eur
Domestic,2022H1,2731.0,value_eur,million_eur
Cross-border,2022H1,2573.0,value_eur,million_eur
Cash withdrawals using card-based payment instruments,2022H1,170818.0,value_eur,million_eur
Domestic,2022H1,166883.0,value_eur,million_eur
Cross-border,2022H1,3935.0,value_eur,million_eur
with a debit card,2022H1,165544.0,value_eur,million_eur
with a delayed debit card,2022H1,4879.0,value_eur,million_eur
with a credit card,2022H1,394.0,value_eur,million_eur
E-money payment transactions,2022H1,219.0,value_eur,million_eur
Cheques,2022H1,16520.0,value_eur,million_eur
Money remittances,2022H1,59258.0,value_eur,million_eur
Domestic,2022H1,56796.0,value_eur,million_eur
Cross-border,2022H1,2462.0,value_eur,million_eur
Other payment services 3,2022H1,20461.0,value_eur,million_eur
Total payment transactions sent involving non-MFIs,2022H1,34134781.0,value_eur,million_eur
Domestic,2022H1,26041597.0,value_eur,million_eur
Cross-border,2022H1,8093183.0,value_eur,million_eur
Payments initiated by domestic,2022H1,,value_eur,million_eur
payment initiation service providers,2022H1,38154.0,value_eur,million_eur
Domestic,2022H1,35545.0,value_eur,million_eur
Cross-border,2022H1,2609.0,value_eur,million_eur
